'NAME', 'DISTANCE'

New York City New York USA,"40.7127281, -74.0060152"

Chicago Illinois USA,"41.8755616, -87.6244212"

Erin New York USA,"42.1859079, -76.6699493"

Corning New York USA,"42.095532, -76.895482"

Poultney Vermont USA,"43.5171364, -73.2363426"

Hollywood California USA,"34.0980031, -118.329523"

Rio Grande Puerto Rico,"18.3606321, -67.23687225928968"

Wilmington Delaware USA,"39.7459468, -75.546589"

Petoskey Michigan USA,"45.373343, -84.95533"

Los Angeles California USA,"34.0536909, -118.242766"

West Hollywood California USA,"34.0923014, -118.3692894"

Kyiv Ukraine,"50.4500336, 30.5241361"

Palos Verdes High School California USA,"33.7795033, -118.4195798873998"

 Sweden,"59.6749712, 14.5208584"

 5-7 08038 Barcelona,"41.423883, 2.1545027"

Morecambe Lancashire England UK,"54.0721085, -2.8650938"

Berlin Germany,"52.5170365, 13.3888599"

Bremen Germany,"53.0758196, 8.8071646"

Hamburg Germany,"53.550341, 10.000654"

Walsrode Lower Saxony Germany,"52.8625395, 9.5883023"

Cologne North Rhine-Westphalia Germany,"50.938361, 6.959974"

Leidingen Wallerfangen Saarland Germany,"49.3086764, 6.6109318"

Quedlinburg Saxony-Anhalt Germany,"51.7855428, 11.1519933"

Freiberg Saxony Germany,"50.9169415, 13.3428889"

Dithmarschen Schleswig-Holstein Germany,"54.1331231, 9.0799113"

Weimar Thuringia Germany,"50.9810486, 11.3296637"

Washington District of Columbia USA,"38.8950368, -77.0365427"

Fairmont West Virginia USA,"39.4850848, -80.1425781"

Kilmainham Jail Dublin County Dublin Ireland,"53.34174585, -6.309578660652412"

Galway Ireland,"53.2744122, -9.0490601"

Canberra Australian Capital Territory Australia,"-35.2975906, 149.1012676"

Valley Village Los Angeles California USA,"34.1637147, -118.3965758"

Nador Morocco,"35.051739350000005, -2.824650885931628"

Istanbul Turkey,"41.0091982, 28.9662187"

Melbourne Australia,"-37.8142176, 144.9631608"

Crown Casino Melbourne Victoria Australia,"-37.82333165, 144.95828578718215"

Ithaca New York USA,"42.437072, -76.54831458600927"

 Boston Suffolk Massachusetts USA,"42.3602534, -71.0582912"

United Center - 1901 W. Madison Street Near West Side Chicago Illinois USA,"41.88068305, -87.67418510441388"

 St Louis Missouri USA,"38.6264256, -90.1995853"

 Boston Massachusetts USA,"42.3602534, -71.0582912"

Glasgow Scotland UK,"55.8609825, -4.2488787"

Warsaw Mazowieckie Poland,"52.2319581, 21.0067249"

Vancouver British Columbia Canada,"49.2608724, -123.113952"

South Africa,"-28.8166236, 24.991639"

Halifax Nova Scotia Canada,"44.648618, -63.5859487"

Ontario Canada,"50.000678, -86.000977"

 Canada,"61.0666922, -107.991707"

Washington Maryland USA,"39.0210196, -76.74402176590908"

Poland,"52.215933, 19.134422"

Brooklyn New York City New York USA,"40.6526006, -73.9497211"

Jersey City New Jersey USA,"40.7215682, -74.047455"

Kenner Louisiana USA,"29.9942265, -90.2417806"

New Orleans Louisiana USA,"29.9759983, -90.0782127"

Jackson Mississippi USA,"32.2990021, -90.1847691"

Sherman Oaks Los Angeles California USA,"34.1508718, -118.4489865"

San Francisco California USA,"37.7790262, -122.419906"

University of Huddersfield Huddersfield West Yorkshire England UK,"53.642893349999994, -1.7781788600613813"

 Burbank California USA,"34.1816482, -118.3258554"

Kew Gardens Queens New York City New York USA,"40.7139415, -73.830742"

Trenton New Jersey USA,"40.2170575, -74.7429463"

Pocono Pennsylvania USA,"41.0720259, -75.7007471"

Niagara Falls Ontario Canada,"43.1065603, -79.0639039"

Rome Italy,"41.8933203, 12.4829321"

Florence Tuscany Italy,"43.7698712, 11.2555757"

Antibes Alpes-Maritimes France,"43.5836, 7.10905"

Nice Alpes-Maritimes France,"43.7009358, 7.2683912"

Washington Crossing Pennsylvania USA,"40.2934408, -74.8704424"

Pennington New Jersey USA,"40.3281213, -74.7909992"

Nimes France,"43.8374249, 4.3600687"

Le Vigan France,"43.9912933, 3.6059407"

Asbury Park New Jersey USA,"40.2203907, -74.0120817"

The Bahamas,"24.7736546, -78.0000547"

Atlanta Georgia USA,"33.7489924, -84.3902644"

Adelaide South Australia Australia,"-34.9281805, 138.5999312"

Sydney New South Wales Australia,"-33.8548157, 151.2164539"

 Eveleigh Sydney New South Wales Australia,"-33.895, 151.1913889"

Camden New South Wales Australia,"-34.016087, 150.71988490858"

India,"22.3511148, 78.6677428"

Kenya,"1.4419683, 38.4313975"

England UK,"52.5310214, -1.2649062"

Kentwell Hall Long Melford Suffolk England UK,"52.0983652, 0.7187206630442042"

